Average Retail Price of Electricity Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESCMUUS.M
00:16:56 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESCMUUS.M Cents per Kilowatthour  Including Taxes
Jun 1992,7.89
May 1992,7.61
Apr 1992,7.43
Mar 1992,7.44
Feb 1992,7.39
Jan 1992,7.3
Dec 1991,7.3
Nov 1991,7.47
Oct 1991,7.81
Sep 1991,7.76
Aug 1991,7.74
Jul 1991,7.74
Jun 1991,7.64
May 1991,7.51
Apr 1991,7.36
Mar 1991,7.37
Feb 1991,7.36
Jan 1991,7.17
Dec 1990,7.17
Nov 1990,7.34
Oct 1990,7.58
Sep 1990,7.5
Aug 1990,7.53
Jul 1990,7.52
Jun 1990,7.49
May 1990,7.31
Apr 1990,7.2
Mar 1990,7.23
Feb 1990,7.15
Jan 1990,6.93
Dec 1989,
Nov 1989,
Oct 1989,
Sep 1989,
Aug 1989,
Jul 1989,
Jun 1989,
May 1989,
Apr 1989,
Mar 1989,
Feb 1989,
Jan 1989,
Dec 1988,
Nov 1988,
Oct 1988,
Sep 1988,
Aug 1988,
Jul 1988,
Jun 1988,
May 1988,
Apr 1988,
Mar 1988,
Feb 1988,
Jan 1988,
Dec 1987,
Nov 1987,
Oct 1987,
Sep 1987,
Aug 1987,
Jul 1987,
Jun 1987,
May 1987,
Apr 1987,
Mar 1987,
Feb 1987,
Jan 1987,
Dec 1986,
Nov 1986,
Oct 1986,
Sep 1986,
Aug 1986,
Jul 1986,
Jun 1986,
May 1986,
Apr 1986,
Mar 1986,
Feb 1986,
Jan 1986,
Dec 1985,
Nov 1985,
Oct 1985,
Sep 1985,
Aug 1985,
Jul 1985,
Jun 1985,
May 1985,
Apr 1985,
Mar 1985,
Feb 1985,
Jan 1985,
Dec 1984,
Nov 1984,
Oct 1984,
Sep 1984,
Aug 1984,
Jul 1984,
Jun 1984,
May 1984,
Apr 1984,
Mar 1984,
Feb 1984,
Jan 1984,
Dec 1983,6.9
Nov 1983,7.1
Oct 1983,7.2
Sep 1983,7.2
Aug 1983,7.1
Jul 1983,7.1
Jun 1983,7.1
May 1983,7
Apr 1983,6.9
Mar 1983,6.9
Feb 1983,6.9
Jan 1983,6.8
Dec 1982,6.8
Nov 1982,7
Oct 1982,7.1
Sep 1982,7
Aug 1982,6.9
Jul 1982,7
Jun 1982,6.9
May 1982,6.9
Apr 1982,6.8
Mar 1982,6.8
Feb 1982,6.7
Jan 1982,6.5
Dec 1981,6.5
Nov 1981,6.5
Oct 1981,6.5
