Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2015,13121006100,Atlanta,GA,31719,10619
2015,13121009700,Atlanta,GA,178438,38890
2015,13121004300,Atlanta,GA,29238,6136
2015,13089020900,Atlanta,GA,48535,10011
2015,13121009603,Atlanta,GA,62866,6853
2015,13121006200,Atlanta,GA,22139,5955
2015,13089022401,Atlanta,GA,73977,20464
2015,13121009602,Atlanta,GA,95559,17899
2015,13121009601,Atlanta,GA,93906,16560
2015,13089023700,Atlanta,GA,30477,10080
2015,13121006300,Atlanta,GA,21875,4109
2015,13121004200,Atlanta,GA,19375,3752
2015,13121009502,Atlanta,GA,52086,20917
2015,13121000100,Atlanta,GA,139487,14576
2015,13121009501,Atlanta,GA,155568,29361
2015,13121006400,Atlanta,GA,30179,12351
2015,13121009404,Atlanta,GA,71993,23699
2015,13121004100,Atlanta,GA,26278,6291
2015,13121000200,Atlanta,GA,100985,10354
2015,13121009403,Atlanta,GA,41655,6669
2015,13121006500,Atlanta,GA,41678,3009
2015,13121000400,Atlanta,GA,102560,35035
2015,13121009402,Atlanta,GA,62868,5321
2015,13121009300,Atlanta,GA,92775,12365
2015,13121000500,Atlanta,GA,89196,20375
2015,13121006601,Atlanta,GA,36957,9891
2015,13121004000,Atlanta,GA,32813,8753
2015,13121009200,Atlanta,GA,59043,7844
2015,13121000600,Atlanta,GA,43146,2481
2015,13121009102,Atlanta,GA,42247,20157
2015,13121006602,Atlanta,GA,16761,4173
2015,13121009101,Atlanta,GA,71145,8969
2015,13121000700,Atlanta,GA,71667,28128
2015,13121009000,Atlanta,GA,101818,9644
2015,13121001001,Atlanta,GA,75375,13325
2015,13121006700,Atlanta,GA,20369,1878
2015,13121003900,Atlanta,GA,25729,7068
2015,13121008904,Atlanta,GA,73894,10127
2015,13121008903,Atlanta,GA,62667,12262
2015,13121001002,Atlanta,GA,30333,11858
2015,13121008902,Atlanta,GA,54497,4145
2015,13121003800,Atlanta,GA,19904,7757
2015,13121001100,Atlanta,GA,81655,4742
2015,13121008800,Atlanta,GA,81333,30249
2015,13121006900,Atlanta,GA,45565,9436
2015,13121008700,Atlanta,GA,26998,3668
2015,13121001201,Atlanta,GA,59840,11258
2015,13121008602,Atlanta,GA,35885,4548
2015,13121001202,Atlanta,GA,68117,7438
2015,13121007001,Atlanta,GA,21587,6701
