UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
85,130,2015,Seattle,WA,98119,Specialty,K-12 School,1964,93218,33.0,39.9,66.6,73.9,3072599.0,3718511.0,0.0,1426258.0,1646400.0
86,131,2015,Seattle,WA,98115,NonResidential,Other,1941,56521,131.5,129.8,412.9,407.6,6443260.0,6361099.0,0.0,6443526.0,0.0
87,132,2015,Seattle,WA,98115,NonResidential,Other,1929,206934,37.4,38.8,76.5,76.7,4461969.0,4625346.0,0.0,2118354.0,2343703.0
88,136,2015,Seattle,WA,98133,NonResidential,Hotel,2001,51390,75.2,75.2,137.5,137.5,3864699.0,3864699.0,0.0,1438855.0,2425903.0
89,137,2015,Seattle,WA,98133,Specialty,K-12 School,1963,131013,29.9,33.1,59.4,62.8,3939221.0,4362064.0,0.0,1770594.0,2168700.0
90,138,2015,Seattle,WA,98133,Specialty,K-12 School,1959,245587,42.5,49.3,77.4,85.7,10444297.0,12104908.0,0.0,3849657.0,6594800.0
91,139,2015,Seattle,WA,98133,NonResidential,Hotel,2002,69138,46.7,47.1,104.7,106.0,3298570.0,3326526.0,0.0,1880991.0,1417657.0
92,140,2015,Seattle,WA,98103,Specialty,K-12 School,1991,66588,30.5,33.9,95.9,106.3,2033074.0,2255184.0,0.0,2033159.0,0.0
93,144,2015,Seattle,WA,98104,NonResidential,Hotel,1904,190980,36.3,36.3,89.9,89.9,6935723.0,6935723.0,0.0,4727785.0,2208135.0
94,145,2015,Seattle,WA,98111,Specialty,Other - Entertainment/Public Assembly,1998,284100,74.7,74.9,197.8,190.3,14169301.0,14212631.0,3123280.0,10609812.0,436649.0
95,147,2015,Seattle,WA,98107,NonResidential,Hospital (General Medical & Surgical),1954,285333,209.4,221.3,442.9,450.1,63362516.0,66980332.0,0.0,32311985.0,31051872.0
96,148,2015,Seattle,WA,98107,Specialty,K-12 School,1991,55513,28.1,32.0,88.4,100.4,1612965.0,1832205.0,0.0,1613032.0,0.0
97,163,2015,Seattle,WA,98104,Specialty,Other,2006,61156,145.0,153.3,361.9,363.1,10434387.0,11034854.0,0.0,7222692.0,3211996.0
98,167,2015,Seattle,WA,98104,NonResidential,Museum,1910,72820,35.8,38.0,90.2,92.5,2076630.0,2206050.0,0.0,1458801.0,617890.0
99,168,2015,Seattle,WA,98109,NonResidential,Hotel,1996,162222,68.2,68.2,152.8,152.8,7753080.0,7753080.0,0.0,4415922.0,3337341.0
100,169,2015,Seattle,WA,98144,Specialty,K-12 School,1990,289588,30.2,36.0,75.9,85.2,8747819.0,10429328.0,0.0,6126773.0,2621300.0
101,170,2015,Seattle,WA,98122,NonResidential,College/University,1915,63330,42.5,48.8,104.7,111.4,2755578.0,3165935.0,0.0,1863973.0,891682.0
102,172,2015,Seattle,WA,98106,Specialty,College/University,1970,441071,77.5,86.6,189.1,201.9,37430780.0,41809228.0,0.0,24886028.0,12545788.0
103,173,2015,Seattle,WA,98115,NonResidential,Office,2002,96300,167.0,166.5,472.7,462.9,16238985.0,16187105.0,0.0,13835528.0,2404032.0
104,174,2015,Seattle,WA,98134,Specialty,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1950,67356,96.2,112.6,192.5,209.6,6577130.0,7693941.0,0.0,2990732.0,3586522.0
105,175,2015,Seattle,WA,98122,Specialty,K-12 School,2008,254523,53.5,63.1,119.5,129.7,13609040.0,16067596.0,0.0,7719861.0,5889500.0
106,176,2015,Seattle,WA,98118,Specialty,K-12 School,2001,78804,31.1,35.1,76.6,80.8,2447651.0,2763750.0,0.0,1659120.0,788600.0
107,177,2015,Seattle,WA,98122,Specialty,K-12 School,2002,66994,33.8,36.7,90.4,99.2,2266570.0,2455369.0,0.0,1757543.0,509100.0
108,178,2015,Seattle,WA,98118,Specialty,K-12 School,2000,98357,33.2,38.7,76.7,82.5,3265995.0,3804876.0,0.0,1970276.0,1295800.0
109,179,2015,Seattle,WA,98118,NonResidential,Office,1958,54765,85.0,92.6,240.7,252.4,4316654.0,4702108.0,0.0,3676968.0,639837.0
110,180,2015,Seattle,WA,98118,NonResidential,Other - Lodging/Residential,2009,89821,22.7,26.3,25.3,29.3,2017694.0,2337736.0,0.0,64880.0,1952816.0
111,182,2015,Seattle,WA,98119,NonResidential,College/University,1980,52611,83.6,93.7,198.3,208.9,4399828.0,4930107.0,0.0,2782111.0,1617832.0
112,183,2015,Seattle,WA,98119,NonResidential,Residence Hall/Dormitory,2001,139600,32.6,37.7,71.5,79.5,4418055.0,5103262.0,0.0,2419334.0,1998821.0
113,185,2015,Seattle,WA,98125,Specialty,K-12 School,2011,236758,34.0,41.1,78.7,89.1,8050977.0,9730278.0,0.0,4868567.0,3182614.0
114,187,2015,Seattle,WA,98122,NonResidential,Other,1971,250981,64.4,65.0,161.9,162.5,13901935.0,14035072.0,3994742.0,9449227.0,458359.0
115,189,2015,Seattle,WA,98117,Specialty,K-12 School,2002,62526,29.5,35.7,66.2,75.3,1841968.0,2234095.0,0.0,1056512.0,785500.0
116,190,2015,Seattle,WA,98108,NonResidential,Office,2007,64015,62.0,66.7,169.6,174.6,3349666.0,3603241.0,0.0,2701378.0,648399.0
117,194,2015,Seattle,WA,98125,NonResidential,Retail Store,1951,530039,54.8,57.5,124.1,124.9,29067292.0,30468608.0,0.0,16867311.0,12200681.0
118,195,2015,Seattle,WA,98125,NonResidential,Other/Specialty Hospital,1964,54224,161.9,176.4,319.7,334.9,7613116.0,8292959.0,0.0,3366679.0,4246577.0
119,197,2015,Seattle,WA,98125,NonResidential,Retail Store,1965,124342,72.4,69.3,226.1,216.2,8835104.0,8450011.0,0.0,8758616.0,76850.0
120,198,2015,Seattle,WA,98105,NonResidential,Hospital (General Medical & Surgical),1953,879000,285.8,290.9,572.9,561.7,251191824.0,255669168.0,0.0,114748139.0,136448438.0
121,200,2015,Seattle,WA,98133,NonResidential,Financial Office,1996,55442,82.9,86.6,188.8,192.7,3091559.0,3229387.0,0.0,1814177.0,1277457.0
122,205,2015,Seattle,WA,98117,Specialty,K-12 School,1999,242795,36.0,40.0,102.0,111.4,8728584.0,9715644.0,0.0,7466694.0,1262200.0
123,209,2015,Seattle,WA,98122,NonResidential,Self-Storage Facility,1910,84870,13.3,17.2,24.6,28.7,1136698.0,1471683.0,0.0,433875.0,702841.0
124,211,2015,Seattle,WA,98103,Specialty,College/University,1970,694072,55.6,59.2,162.3,169.8,37117212.0,39513408.0,0.0,33183593.0,3934997.0
125,212,2015,Seattle,WA,98118,Specialty,K-12 School,1952,173185,39.6,51.0,63.1,75.0,6863464.0,8829066.0,0.0,1781138.0,5082400.0
126,214,2015,Seattle,WA,98106,Specialty,K-12 School,1963,145341,35.9,44.3,66.5,75.3,4998015.0,6165405.0,0.0,1914941.0,3083154.0
127,215,2015,Seattle,WA,98108,NonResidential,Non-Refrigerated Warehouse,1904,114297,15.2,18.0,31.6,35.1,1738724.0,2060926.0,0.0,854011.0,884748.0
128,216,2015,Seattle,WA,98118,Specialty,K-12 School,1960,184125,43.7,55.9,78.5,91.4,8037287.0,10298198.0,0.0,2877207.0,5160200.0
129,217,2015,Seattle,WA,98117,Specialty,K-12 School,1959,160270,35.4,45.9,62.4,77.6,5674450.0,7361706.0,0.0,1936530.0,3738000.0
130,220,2015,Seattle,WA,98134,NonResidential,Non-Refrigerated Warehouse,1937,234144,31.5,40.4,46.8,56.1,7370743.0,9449743.0,0.0,1541206.0,5829600.0
