UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ChilledWaterUse(kBtu),OtherFuelUse(kBtu)
157,101788,2014,Chicago,IL,60606,NonResidential,Office,1982,1012961.0,58.0,58.0,180.0,180.0,0.0,58136624.0,0.0,0.0,103222.0
158,101559,2014,Chicago,IL,60604,NonResidential,Office,1991,840365.0,47.0,46.0,147.0,144.0,0.0,39400411.0,0.0,0.0,0.0
159,101935,2014,Chicago,IL,60611,NonResidential,Office,1968,373561.0,87.0,82.0,273.0,259.0,0.0,32495267.0,0.0,0.0,0.0
160,103595,2014,Chicago,IL,60604,NonResidential,Office,1930,1573971.0,130.0,128.0,322.0,318.0,0.0,141357318.0,0.0,62757738.0,0.0
161,103615,2014,Chicago,IL,60611,NonResidential,Hospital (General Medical & Surgical),2007,945000.0,214.0,205.0,410.0,394.0,0.0,83746482.0,118674838.0,0.0,0.0
162,103711,2014,Chicago,IL,60602,NonResidential,Office,1978,776691.0,59.0,56.0,186.0,177.0,0.0,45889489.0,0.0,0.0,0.0
163,103685,2014,Chicago,IL,60602,NonResidential,Office,1910,829072.0,83.0,82.0,201.0,199.0,0.0,45261204.0,23312000.0,0.0,0.0
164,103653,2014,Chicago,IL,60654,NonResidential,Office,1975,1738520.0,113.0,110.0,305.0,297.0,0.0,155920041.0,3700700.0,36941830.0,0.0
165,102285,2014,Chicago,IL,60657,NonResidential,Hospital (General Medical & Surgical),2004,1143379.0,176.0,172.0,323.0,317.0,0.0,75466070.0,126097807.0,0.0,0.0
166,158088,2014,Chicago,IL,60631,NonResidential,Office,1969,252250.0,54.0,50.0,164.0,153.0,0.0,12955835.0,0.0,0.0,0.0
167,101943,2014,Chicago,IL,60606,NonResidential,Office,1987,345450.0,76.0,73.0,238.0,228.0,0.0,26154611.0,0.0,0.0,0.0
168,158438,2014,Chicago,IL,60611,NonResidential,Office,1962,264980.0,83.0,80.0,187.0,184.0,0.0,12729954.0,9232664.0,0.0,0.0
169,102309,2014,Chicago,IL,60641,Specialty,K-12 School,1910,454800.0,88.0,83.0,148.0,142.0,0.0,12030668.0,28114489.0,0.0,0.0
170,101878,2014,Chicago,IL,60606,NonResidential,Office,1971,545162.0,115.0,112.0,222.0,219.0,0.0,26798657.0,25865354.0,9931908.0,0.0
