Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3918/010,Showplace Square West,550 15TH ST,94103,"550 15TH ST
SAN FRANCISCO, CA 94103",72180,Other,http://propertymap.sfplanning.org/?&search=3918/010,1906,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920/001,100 Potrero,100 POTRERO AVE,94103,"100 POTRERO AVE
SAN FRANCISCO, CA 94103",70000,Office,http://propertymap.sfplanning.org/?&search=3920/001,1910,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,83,59,140.5,-35.5,-35.5,279.2,4,59,140.5,89,46.3,121.7,-43.6,-43.6,254.5,3.6,46.3,121.7,51,97.2,212.7,-1.4,-1.4,466.8,6.7,97.2,212.7,30,121.4,263.2,23.2,23.2,580.5,8.3,120.1,259.2,40,109.8,244.8,11,11,558.8,8,106.6,241.5,63,109.8,260.8,-10.7,,576.7,,109.8,260.8,58,117.3,,-6.7,,610.2,,117.5,
3922A/001A,U-Haul Moving & Storage of Downtown San Francisco,1525 Bryant St,94103,"1525 BRYANT ST
SAN FRANCISCO, CA 94103",161269,Self-Storage Facility,http://propertymap.sfplanning.org/?&search=3922A/001A,1929,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,,11.7,36.9,-22.5,-22.5,143.7,0.9,11.7,36.9,,10.4,32.7,-31.2,-31.2,145.9,0.9,10.5,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923/002,1398 BRYANT ST,1398 BRYANT ST,94103,"1398 BRYANT ST
SAN FRANCISCO, CA 94103",18000,Office,http://propertymap.sfplanning.org/?&search=3923/002,1900,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,Tenant Turnover,Complied,,Exempt,Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,24.3,76.3,-33.2,-33.2,35.7,2,24.3,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923/003,1504 Bryant,1504 BRYANT ST,94103,"1504 BRYANT ST
SAN FRANCISCO, CA 94103",35000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3923/003,1900,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Exempt,SqFt Not Subject This Year,,9.3,22.5,-81.7,-81.7,22.1,0.6,9.8,23,,10.7,27.3,-77.8,-77.8,28.9,0.8,11.7,28.4,,10.7,26.3,-78.7,-78.7,27.1,0.8,10.7,26.3,,10.7,27.5,-77.7,-77.7,27.6,0.8,10.9,27.7,,11.8,29.3,-76.2,-76.2,29.9,0.9,11.1,28.7,,,,,,,,,,,,,,,,,,
3923/006,Hamms Building,1550 BRYANT ST,94103,"1550 BRYANT ST
SAN FRANCISCO, CA 94103",198612,Office,http://propertymap.sfplanning.org/?&search=3923/006,1915,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,95,34.7,105.1,-55.1,-55.1,496,2.6,35.2,105.6,96,33.8,101,-56.4,-56.4,546.7,2.9,34,101.2,95,34.8,107.9,-53.5,-53.5,539.9,2.8,34.4,106.9,95,33.7,104.5,-54.6,-54.6,523.2,2.7,33.1,101.9,93,36.1,107.9,-50.1,-50,590.9,3.1,35.7,107.4,91,39.4,124.9,-46.3,,665.12,,39.1,124.6,92,37.6,,-48.8,,636.8,,37.4,
3924/008,LBRACC,201 ALABAMA ST,94103,"201 Alabama ST
SAN FRANCISCO, CA 94103",72400,Hospital (General Medical & Surgical),http://propertymap.sfplanning.org/?&search=3924/008,0,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,100,109.7,194.7,-52.2,-52.2,484.6,6.7,111.9,196.9,99,134.4,237.1,-41.4,-41.4,628.6,8.7,136.3,239.1,88,151.1,312.7,-22.7,-22.7,732.7,10.1,152.3,311.4,53,177.3,359.5,-1.7,-1.7,852.5,11.8,179.5,355.5,,189.4,365.9,-6.1,-6.1,892.7,12.3,186.6,365.3,,184.6,371.9,-5.8,,923.35,,185.2,373.9,,169.5,,-13.7,,866.64,,165.6,
3926/001,2600 16TH ST,2600 16TH ST,94103,"2600 16TH ST
SAN FRANCISCO, CA 94103",33000,Other,http://propertymap.sfplanning.org/?&search=3926/001,2001,2022-04-01T00:00:00.000,Upcoming,Exempt,New Construction,Exempt,,Exempt,New Construction,Exempt,Change in Ownership,Exempt,Vacancy,Exempt,Vacancy,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3927/004,SPCA of SF,243 ALABAMA STREET,94103,"243 Alabama Street
SAN FRANCISCO, CA 94103",25500,Other,http://propertymap.sfplanning.org/?&search=3927/004,1925,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,192.9,321.7,161.3,161.3,294.3,11.5,199.2,327.2,,191.9,314.8,155.7,155.7,306.4,12,202.9,324.7,,196.3,323.4,162.6,162.6,306.5,12,194.3,317.2,,118.5,208.7,69.5,69.5,189.7,7.4,,,,299.9,435.4,253.7,253.7,448,17.6,285.5,426.5,0,289.6,427.3,313.7,,444.85,,281.8,422.4,,,,,,,,,
3928/001,1600 BRYANT ST,1600 BRYANT ST,94103,"1600 BRYANT ST
SAN FRANCISCO, CA 94103",22650,Office,http://propertymap.sfplanning.org/?&search=3928/001,1929,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3930A/002,Safeway 1490,2300 16TH ST,94103,"2300 16th Street
SAN FRANCISCO, CA 94103",226487,Strip Mall,http://propertymap.sfplanning.org/?&search=3930A/002,0,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,79.9,219.8,-7.5,-7.5,1296.3,5.7,79.5,218.3,,102.9,271.9,14.5,14.5,1835.4,8.1,102.6,270.6,,104.9,279.1,17.5,17.5,1878,8.3,104.4,276.6,,96,276,16.2,16.2,1694.8,7.5,96,276,,92,265.9,11.9,11.9,1628.2,7.2,92,265.9,,,,,,,,,,52,217.1,,-1.7,,990.86,,217.1,
3931A/001,200-202 Potrero Ave,200-202 POTRERO AVE,94103,"200 202 Potrero Ave
SAN FRANCISCO, CA 94103",27716,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=3931A/001,1928,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,15.1,37.9,,,28.9,1,15.6,38.4,,15.7,39.7,,,33.5,1.2,16.6,40.7,,18,44.7,,,36.2,1.3,18.6,45.3,,19.5,48.3,,,39.2,1.4,20.4,49.3,,16,35,,,30.4,1.1,16,35,,15,33.3,,,28.7,1,15,33.3,,,,,,,,,
3932/006,Forderer Cornice Works,269 POTRERO AVE,94103,"269 POTRERO AVE
SAN FRANCISCO, CA 94103",63250,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3932/006,1924,2020-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,,,,,,,,,,,52.1,153,24.3,24.3,253.5,4.4,54.5,155.5,,51.7,150.1,21.9,21.9,249.9,4.3,53,151.4,,35.4,102.5,-16.8,-16.8,161.3,2.8,35.4,102.5,,,,,,,,,,,30,89.6,-27.2,,149.1,,29.8,89.4,,24.9,,-40.3,,124.7,,24.4,
3932/017,208 Utah,208 UTAH STREET,94103,"208 Utah Street
SAN FRANCISCO, CA 94103",76620,Office,http://propertymap.sfplanning.org/?&search=3932/017,1911,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,91,48.2,132.9,-47.5,-47.5,264.7,3.5,50.6,135.4,82,62.4,184.6,-34.5,-34.5,401,5.2,62.7,184.9,79,64.8,193.4,-31.5,-31.5,394.4,5.1,64,190.9,77,73,198.3,-29.2,-29.2,423.8,5.5,73,198.3,96,70.1,208.5,-26,-26,379.7,5.6,70.1,208.5,94,27.9,83.7,-52.3,,182.2,,27.6,83.5,99,30.2,,-65.1,,181.75,,30.2,
3933/001,Bonhams_220,220 SAN BRUNO AVE,94103,"220 SAN BRUNO AVE
SAN FRANCISCO, CA 94103",52000,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3933/001,1961,2013-04-01T00:00:00.000,Pending - Waiting for Clarification,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,67,22.3,59.7,-21.5,-21.5,82,1.6,22.7,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,37.2,,-52.8,,153.55,,36.5,
3935/004,200 KANSAS ST,200 KANSAS ST,94103,"200 KANSAS ST
SAN FRANCISCO, CA 94103",90637,Office,http://propertymap.sfplanning.org/?&search=3935/004,1983,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,,Complied,,Complied,,,,,,,,,,,86,29.4,92.2,-39.6,-39.6,231,2.5,30.1,94.6,87,28.8,90.3,-40.9,-40.9,212.5,2.3,28.8,90.3,99,14.8,45.1,-70.1,-70.1,107.7,1.2,14.8,45.1,,,,,,,,,,,,,,,,,,,98,18.2,,-64.5,,140.22,,18.2,
3936/001,200 RHODE ISLAND ST,200 RHODE ISLAND ST,94103,"200 RHODE ISLAND ST
SAN FRANCISCO, CA 94103",90768,Other,http://propertymap.sfplanning.org/?&search=3936/001,1912,2022-04-01T00:00:00.000,Upcoming,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3936/002,16th&Kansas Streets Building,1616 16TH ST,94103,"1616 16TH ST
SAN FRANCISCO, CA 94103",72330,Office,http://propertymap.sfplanning.org/?&search=3936/002,0,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,100,17,34.3,-79.6,-79.6,78.3,1.1,18.5,35.8,100,16.8,36.2,-78.5,-78.5,86.2,1.2,19.7,39.4,100,15.8,36,-78.5,-78.5,79.9,1.1,,,100,15.1,34.9,-79.1,-79.1,76.7,1.1,,,100,18.5,38.9,-77,-77,90.4,1.2,16.9,36.8,,,,,,,,,,,,,,,,,,
3937/001,1500 16th Street/250 DeHaro St,1500 16TH ST,94103,"1500 16TH ST
SAN FRANCISCO, CA 94103",47500,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3937/001,1952,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,28,87.8,-9.3,-9.3,100.7,2.1,28,87.8,,30.8,96.6,-0.2,-0.2,126.8,2.7,30.5,95.9,,33.4,104.9,8.4,8.4,129.4,2.7,33.4,104.9,,32,100.5,3.8,3.8,124,2.6,32,100.5,,31.1,97.6,0.9,0.9,120.4,2.5,31.5,98.8,,42.9,143.4,10.1,,111.92,,40.5,135.1,,,,,,,,,
3937/002A,PSAI - 251 Rhode Island Street,251 RHODE ISLAND ST,94103,"251 RHODE ISLAND ST
SAN FRANCISCO, CA 94103",79809,Office,http://propertymap.sfplanning.org/?&search=3937/002A,1925,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,96,33,82.8,-55.8,-55.8,159.5,2.3,33,82.8,89,38.9,100.5,-43.3,-43.3,212,3,38.9,100.5,88,39.8,103,-41.9,-41.9,206.4,2.9,39.8,103,,43.5,113.5,-23.3,-23.3,225.3,3.2,43.5,113.5,87,45.4,120,-40.1,-40,253.2,3.6,45.4,120,87,45.6,120.1,-40.1,-40.1,253.7,3.6,45.6,120.1,,,,,,,,,
3938/001,"Jessica McClintock, INC.",1400 16TH ST,94103,"1400 16TH ST
SAN FRANCISCO, CA 94103",100850,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3938/001,1938,2014-04-01T00:00:00.000,Did Not Comply,Complied,,Exempt,,Exempt,New Construction,Exempt,New Construction,Exempt,Change in Ownership,Exempt,Change in Ownership,Complied,,Complied,,,46.4,139.2,13.1,13.1,347.9,3.4,46.4,139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,11.3,,-34.6,,204.13,,11,
3940/003,ARE San Francisco No. 43,409 ILLINOIS ST,94158,"409 Illinois st
SAN FRANCISCO, CA 94158",347120,Laboratory,http://propertymap.sfplanning.org/?&search=3940/003,2008,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,270,561.7,356.3,356.3,4149.1,17.4,272.4,561.9,,273.3,559.2,354.2,354.2,4515.4,18.9,279.1,563.4,,268.1,552,348.4,348.4,4280.8,17.9,269.4,549.2,,269.6,549.9,346.6,346.6,4287.3,17.9,271.5,542.7,,279.2,548.7,345.3,345.7,4557.3,19.1,281.2,554.9,,265.6,545.4,279.4,,4424.07,,268.9,558,,272.6,,338,,4527.15,,267.4,
3940/004,ARE San Francisco No. 43,499 ILLINOIS ST,94158,"499 Illinois st
SAN FRANCISCO, CA 94158",332927,Laboratory,http://propertymap.sfplanning.org/?&search=3940/004,2008,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,175.8,364.5,196.1,196.1,2538,11.3,179.2,368.1,,168.9,362.7,194.6,194.6,2686.5,12,170.3,364.2,,134.8,295,139.6,139.6,2077.7,9.2,136.2,296.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951/001,1001 16TH ST,1001 16TH ST,94107,"1001 16TH ST
SAN FRANCISCO, CA 94107",18839,Other,http://propertymap.sfplanning.org/?&search=3951/001,1952,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951/004,1079 16TH ST,1079 16TH ST,94107,"1079 16TH ST
SAN FRANCISCO, CA 94107",22389,Other,http://propertymap.sfplanning.org/?&search=3951/004,1990,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951/005,88 MISSOURI ST,88 MISSOURI ST,94107,"88 MISSOURI ST
SAN FRANCISCO, CA 94107",10149,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3951/005,1931,2021-04-01T00:00:00.000,Upcoming,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,,15,42.3,-56.4,-56.4,11,1.1,15.5,42.7,,,,,,,,,,,12.3,34.4,-64.4,-64.4,9.6,0.9,12.5,34.6,,8.2,22,-77.3,-77.3,6.3,0.6,8.2,22,,6.8,15.5,-84,-84,4.8,0.5,6.9,15.6,,,,,,,,,,,,,,,,,,
3952/001,2 CONNECTICUT ST,2 CONNECTICUT ST,94107,"2 CONNECTICUT ST
SAN FRANCISCO, CA 94107",15624,Other,http://propertymap.sfplanning.org/?&search=3952/001,1922,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952/001C,1 ARKANSAS ST,1 ARKANSAS ST,94107,"1 ARKANSAS ST
SAN FRANCISCO, CA 94107",26062,Office,http://propertymap.sfplanning.org/?&search=3952/001C,1922,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,33.8,81.5,-45,-45,59.8,2.3,35.4,83.1,,33.4,85.5,-42.3,-42.3,68.5,2.6,35.7,87.5,,33,88.1,-40.5,-40.5,65.7,2.5,33.7,88.1,,36.9,92.9,-37.2,-37.2,71.4,2.7,36,90.2,,31.1,78.9,-46.7,-46.7,60.4,2.3,31.6,80.3,,,,,,,,,,,,,,,,,,
3953/003,115 Wisconsin St,115 WISCONSIN ST,94107,"115 WISCONSIN ST
SAN FRANCISCO, CA 94107",16178,Office,http://propertymap.sfplanning.org/?&search=3953/003,1916,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,SqFt Not Subject This Year,,59,96.9,-34.5,-34.5,56.8,3.5,66,105.7,,61.1,109.6,-26,-26,64.8,4,74.8,126.7,,63.4,117.2,-20.9,-20.9,65.9,4.1,66.5,120.4,,65.4,126,-14.9,-14.9,69.1,4.3,74.4,135.5,,63.7,121.9,-17.6,-17.6,67.1,4.1,63.7,121.9,,,,,,,,,,,,,,,,,,
3956/004,Winton Properties,383 RHODE ISLAND ST,94103,"383 RHODE ISLAND ST
SAN FRANCISCO, CA 94103",27667,Office,http://propertymap.sfplanning.org/?&search=3956/004,1924,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,100,20.3,54.7,-69.2,-69.2,34.1,1.4,21.5,55.9,98,22.9,65.7,-62.6,-62.6,44.7,1.9,24.1,66.3,100,19.6,54.9,-68.7,-68.7,35.7,1.5,19.6,54,100,18.4,49.9,-71.2,-71.2,33,1.4,18.4,49.9,100,21.6,53.4,-70.4,-70.4,37,1.6,20.7,52.4,,,,,,,,,,,,,,,,,,
3956/008,300 De Haro Center,300 DE HARO ST,94103,"300 DE HARO ST
SAN FRANCISCO, CA 94103",16952,Other,http://propertymap.sfplanning.org/?&search=3956/008,1984,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Building Not Subject,Exempt,SqFt Not Subject This Year,,68.4,134.3,-68.9,-68.9,64.5,4.3,68.4,134.3,,331.8,418.8,-3.1,-3.1,317.9,18.8,331.8,418.8,,384.7,508.3,,,370.4,21.9,384.7,508.3,,110.1,205,66.5,66.5,119.8,7.1,110.1,205,,124.4,244.2,98.4,98.4,144,8.5,124.4,244.2,,,,,,,,,,,,,,,,,,
3957/002,350 Rhode Island - North,350 RHODE ISLAND - NORTH,94103,"350 Rhode Island North
SAN FRANCISCO, CA 94103",127074,Other - Education,http://propertymap.sfplanning.org/?&search=3957/002,2002,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,76.8,189,33.6,33.6,667.8,5.3,77.3,189.6,,100.4,244,72.5,72.5,961.3,7.6,101.6,245.3,,108.1,268.3,89.7,89.7,997.3,7.8,108.2,266.3,,102.7,254.3,79.8,79.8,946.4,7.4,99.9,245.4,,92.1,228.8,61.9,61.8,900.9,7.1,91.6,230.2,,94.9,242.8,63.6,,940.9,,95.3,244.4,,125,,96,,1160.87,,123.6,
3957/004,350 Rhode Island Street,350 RHODE ISLAND ST - SOUTH,94103,"350 Rhode Island St SOUTH
SAN FRANCISCO, CA 94103",204740,Office,http://propertymap.sfplanning.org/?&search=3957/004,2002,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Violation - Did Not Report,,Complied,,Complied,,99,24.1,36.1,-77.2,-77.2,283.6,1.4,24.1,36.1,100,29.9,47.6,-77.7,-77.7,378.3,1.8,31.5,49.3,100,29.2,48.9,-77.5,-77.5,368.4,1.8,29.7,49.4,100,30.2,52,-75.8,-75.8,384.4,1.9,31.7,53.5,,,,,,,,,,,,,,,,,,,33,88.8,,19,,989.32,,88.8,
3958/001B,Chip Factory,365 VERMONT ST,94103,"365 VERMONT ST
SAN FRANCISCO, CA 94103",12465,Office,http://propertymap.sfplanning.org/?&search=3958/001B,1984,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,80,29.6,93,-32.4,-32.4,28,2.2,29.6,93,96,14,40.3,-55.7,-55.7,14.4,1.2,14,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3958/001G,398 KANSAS ST,398 KANSAS ST,94103,"398 KANSAS ST
SAN FRANCISCO, CA 94103",12000,Office,http://propertymap.sfplanning.org/?&search=3958/001G,1912,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,108.4,320.2,116.3,116.3,96,8,109.9,319.9,,106.5,311.9,110.7,110.7,94,7.8,112.9,321.7,26,76.7,231.7,,,91.9,6.1,77.3,232.4,39,65.2,197.2,12.1,12.1,78.2,5.2,56.7,170.5,53,62.4,176.5,-3.4,-3.4,77.4,5.2,60.7,174.7,,,,,,,,,,,,,,,,,,
3958/006,Kleinen Square,300 KANSAS ST,94103,"300 KANSAS ST
SAN FRANCISCO, CA 94103",28861,Office,http://propertymap.sfplanning.org/?&search=3958/006,0,2019-04-01T00:00:00.000,Pending - Contracted,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,98,13.1,36.7,-71.7,-71.7,26.6,0.9,13.6,38,,,,,,,,,,88,20.3,63.8,-42.6,-42.6,47.8,1.7,20.3,63.8,88,20.1,63.1,-42.2,-42.2,47.3,1.6,20.1,63.1,82,24.4,76.6,-33.9,-34,61.9,2.1,24.4,76.6,84,23.4,78.3,-36.5,,61.44,,23.4,78.3,,,,,,,,,
3960/001,UPS - San Francisco,2222 17TH ST,94103,"2222 17TH ST
SAN FRANCISCO, CA 94103",285047,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3960/001,1961,2018-04-01T00:00:00.000,Pending - Waiting for Clarification,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,46,25.1,74.8,6,6,529.9,1.9,25.3,75,,,,,,,,,,38,29.3,88.8,,,551.1,2.3,29.6,89,37,29.7,90.6,18.6,18.6,561.2,2.4,29.7,90.6,35,31.4,93.6,21.4,21.4,585.7,2.5,30.8,92.4,55,30.7,97.6,-7.2,,637.07,,30.7,97.5,57,30.1,,-9.7,,622.29,,29.8,
