Total Primary Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.M
08:49:08 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TETCBUS.M Trillion Btu
Feb 1991,6866.738
Jan 1991,8078.661
Dec 1990,7546.645
Nov 1990,6776.438
Oct 1990,6812.414
Sep 1990,6618.049
Aug 1990,7283.532
Jul 1990,7036.447
Jun 1990,6759.777
May 1990,6750.376
Apr 1990,6771.439
Mar 1990,7309.418
Feb 1990,7007.056
Jan 1990,7812.967
Dec 1989,8248.724
Nov 1989,6943.56
Oct 1989,6794.031
Sep 1989,6484.541
Aug 1989,7031.494
Jul 1989,6859.659
Jun 1989,6697.346
May 1989,6639.14
Apr 1989,6664.216
Mar 1989,7545.703
Feb 1989,7233.498
Jan 1989,7643.419
Dec 1988,7544.911
Nov 1988,6708.19
Oct 1988,6591.078
Sep 1988,6344.903
Aug 1988,6992.534
Jul 1988,6750.241
Jun 1988,6511.855
May 1988,6394.683
Apr 1988,6453.888
Mar 1988,7300.926
Feb 1988,7311.849
Jan 1988,7804.136
Dec 1987,7281.541
Nov 1987,6346.123
Oct 1987,6366.409
Sep 1987,6127.542
Aug 1987,6518.294
Jul 1987,6630.484
Jun 1987,6283.858
May 1987,6203.087
Apr 1987,6317.775
Mar 1987,6770.707
Feb 1987,6732.162
Jan 1987,7476.45
Dec 1986,7031.035
Nov 1986,6122.967
Oct 1986,6043.899
Sep 1986,5822.464
Aug 1986,6227.713
Jul 1986,6358.024
Jun 1986,6019.767
May 1986,6103.287
Apr 1986,6113.781
Mar 1986,6780.17
Feb 1986,6624.247
Jan 1986,7399.658
Dec 1985,7224.067
Nov 1985,6063.41
Oct 1985,6031.312
Sep 1985,5763.682
Aug 1985,6262.2
Jul 1985,6191.778
Jun 1985,5885.315
May 1985,6010.09
Apr 1985,6110.942
Mar 1985,6582.706
Feb 1985,6884.675
Jan 1985,7382.202
Dec 1984,6671.81
Nov 1984,6104.652
Oct 1984,5965.862
Sep 1984,5766.025
Aug 1984,6328.067
Jul 1984,6160.819
Jun 1984,6031.41
May 1984,6176.19
Apr 1984,6275.386
Mar 1984,6863.942
Feb 1984,6628.326
Jan 1984,7659.216
Dec 1983,6868.125
Nov 1983,5940.081
Oct 1983,5705.57
Sep 1983,5704.341
Aug 1983,6133.137
Jul 1983,5946.682
Jun 1983,5682.518
May 1983,5697.525
Apr 1983,5873.836
Mar 1983,6436.333
Feb 1983,6069.952
Jan 1983,6912.467
Dec 1982,6463.441
Nov 1982,5983.05
Oct 1982,5730.544
Sep 1982,5553.562
Aug 1982,5822.744
Jul 1982,5840.514
Jun 1982,5577.011
May 1982,5607.074
Apr 1982,6044.908
Mar 1982,6548.462
Feb 1982,6475.473
Jan 1982,7452.645
Dec 1981,7092.463
Nov 1981,6142.499
Oct 1981,6147.633
Sep 1981,5824.826
Aug 1981,6116.564
Jul 1981,6212.381
Jun 1981,5999.608
May 1981,5943.749
Apr 1981,5879.369
Mar 1981,6610.567
Feb 1981,6488.579
Jan 1981,7643.376
Dec 1980,7367.613
Nov 1980,6424.042
Oct 1980,6320.64
Sep 1980,5974.226
Aug 1980,6066.541
Jul 1980,6138.724
Jun 1980,5875.872
May 1980,6011.371
Apr 1980,6162.598
Mar 1980,7025.383
Feb 1980,7127.106
Jan 1980,7569.338
Dec 1979,7341.604
Nov 1979,6682.793
Oct 1979,6546.994
Sep 1979,6056.294
Aug 1979,6496.817
Jul 1979,6280.572
Jun 1979,6146.792
May 1979,6351.355
Apr 1979,6291.051
Mar 1979,7155.015
Feb 1979,7413.492
Jan 1979,8096.05
Dec 1978,7479.492
Nov 1978,6689.161
Oct 1978,6428.593
Sep 1978,6091.208
Aug 1978,6499.555
Jul 1978,6343.727
Jun 1978,6152.956
May 1978,6341.706
Apr 1978,6173.557
Mar 1978,6969.369
Feb 1978,7055.634
Jan 1978,7724.961
Dec 1977,7445.772
Nov 1977,6488.691
Oct 1977,6276.021
Sep 1977,6083.524
Aug 1977,6304.07
Jul 1977,6199.376
Jun 1977,6089.198
May 1977,6000.884
Apr 1977,5983.088
Mar 1977,6577.61
Feb 1977,6657.899
Jan 1977,7855.623
Dec 1976,7661.524
Nov 1976,6732.906
Oct 1976,6247.77
Sep 1976,5742.648
Aug 1976,5973.736
Jul 1976,6027.641
Jun 1976,5827.441
May 1976,5796.389
Apr 1976,5858.227
Mar 1976,6394.82
Feb 1976,6396.086
Jan 1976,7315.131
Dec 1975,6929.591
Nov 1975,5853.242
Oct 1975,5911.74
Sep 1975,5501.291
Aug 1975,5747.213
Jul 1975,5671.861
Jun 1975,5438.115
May 1975,5494.457
Apr 1975,5800.645
Mar 1975,6386.257
Feb 1975,6171.542
Jan 1975,7059.014
Dec 1974,6845.56
Nov 1974,6238.457
Oct 1974,6184.96
Sep 1974,5713.814
Aug 1974,6018.263
Jul 1974,5988.038
Jun 1974,5644.753
May 1974,5867.145
Apr 1974,5863.745
Mar 1974,6373.851
Feb 1974,6316.938
Jan 1974,6906.707
Dec 1973,6889.701
Nov 1973,6521.876
Oct 1973,6177.455
Sep 1973,5776.048
Aug 1973,6194.365
Jul 1973,5954.498
Jun 1973,5805.318
May 1973,6074.551
Apr 1973,5944.336
Mar 1973,6524.198
Feb 1973,6594.709
Jan 1973,7226.265
