Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
10 St. James Ave.,Compliant,Office,10 St. James Avenue,02116,567714,66.3,82,"2016, 2011, 2009, 2008, 2007","Financial Office, Office, Other, Parking",2001,2887.9,5.1,37666181.6,1.000041386,,,11.89,,,,501152000,"2014, 2015, 2016, 2017, 2018, "
121 - Roche Bros.,Compliant,Supermarket/Grocery Store,10 Summer St,02110,37000,199.2,64,,Supermarket/Grocery Store,2008,544.7,14.7,7371481.4,0.882312574,0.117723959,,Not Available,,"Submitting as a tenant. 

Water data was currently unavailable for this site. This is administered by the landlord. 

Thank you for your understanding. ",,304585010,"2017, 2018, "
The Stearns: 10 Temple Place,Compliant,Multifamily Housing,10 Temple Pl,02111,135344,60.5,72,,Multifamily Housing,1909,501.4,3.7,8193066.5,0.342979671,0.657034509,,50.41,,,,304794000,"2015, 2016, 2017, 2018, "
10 Tremont Street,Compliant,Office,10 Tremont Street,02108,38000,60.5,100,,Office,1900,169.1,4.4,2300561.2,,,,12.21,,,,302854000,"2016, 2017, 2018, "
PHS-MGH-Charles River Health Club,Voluntary,Fitness Center/Health Club/Gym,10 Whittier Place,02114,66655,91.2,,,Fitness Center/Health Club/Gym,1964,223.561234,3.354005461,6077401.8,0.307381184,0.692631509,,26.08,,,,300450972,"2014, 2015, 2016, 2018, "
"Yarmouth St: 10, 14, 16, 22 Yarmouth Street",Voluntary,Multifamily Housing,10 Yarmouth Street,02116,24000,46.8,,,Multifamily Housing,1990,66.3,2.8,1123344.5,0.251439939,0.748570514,,24.91,,"I am submitting this property on behalf of Thayer & Associates, who manage the property, however, I do no think the building needs to comply as it is not on the CBL and is not over 25,000 square feet",,400653000,"2018, "
Forest Acres,Compliant,Multifamily Housing,100 - 110 Livermore Street,02126,72800,76.2,96,,Multifamily Housing,1968,298.9,4.1,5543891.4,0.034039672,0.965961739,,75.82,,,,1802440000 1802441000                    ,"2017, 2018, "
Tent City,Compliant,Multifamily Housing,100 -128 Dartmouth Street (130),02116,327174,59.3,64,,"Multifamily Housing, Retail Store",1987,1269.6,3.9,19410198.1,0.521919022,0.478102583,,36.91,,,,400600040,"2015, 2016, 2017, 2018, "
Navy Yard 34-39: Building 39,Compliant,Office,100 1st Avenue,02129,86951,55.3,64,,Office,1989,345.3,4,4806429.5,0.794700898,0.205332018,,9.85,,,,"0203504000	","2017, 2018, "
St. Anthony Shrine,Compliant,Worship Facility,100 Arch Street,02110,126573,61.9,,,Worship Facility,1954,538.8,4.3,7838960.8,0.263361673,0.027465375,0.709183837,16.49,,"The subject property consists of a 19,126 SF mid-block site that is improved with St. Anthony's Shrine and friary.  The building, which consists of two distinct parts, contains a total GBA of 126,573 SF according to municipal records.  The building's shrine component is finished with multiple levels of churches and a chapel, as well as a lower level food pantry.  The second component rises 11 stories and is used as residences for the religious order, as well as office spaces.  

Property use detail was estimated.  
Reporting was performed by attorney for building owner. ",,304608000,"2017, 2018, "
100 Arlington,Compliant,Multifamily Housing,100 Arlington Street,02116,203204,53.4,28,,"Food Sales, Multifamily Housing",1926,773.4,3.8,10852910.4,0.614800058,0.109302582,0.275922798,16.83,,Parcel ID: 0500805000,,500805000,"2015, 2016, 2017, 2018, "
100 Ashford Street,Compliant,Other - Stadium,100 Ashford Street,02215,96292,99.6,,,Other - Stadium,2002,604.3,6.3,9593270.1,0.452770088,0.547248656,,3.83,,,,2100415000,"2014, 2015, 2016, 2017, 2018, "
100 Bay State Road,Compliant,Restaurant,100 Bay State Road,02215,109614,Not Available,,,"Office, Restaurant",2012,0,0,Not Available,,,,Not Available,,"DUPLICATE PROPERTY
LEED Project Number: 1000006473",,504028000,"2015, 2016, 2017, 2018, "
100 Bay State Road,Compliant,Office,100 Bay State Road,02215,123678,145.2,,,"Food Service, Office",2012,1143.1,9.2,17959893.7,0.482564132,0.517455837,,37.21,,,,504028000,"2014, 2015, 2016, 2017, 2018, "
"Belvedere Condo Trust, The",Compliant,Multifamily Housing,100 Belvedere Street,02199,165000,34.9,67,,Multifamily Housing,1900,435.8,2.6,5766061.7,0.953508752,0.046530718,,0.09,,,,401037600,"2016, 2017, 2018, "
HF GROUP LLC,Compliant,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,02129,39754,142,,,Manufacturing/Industrial Plant,1950,384.2,9.7,5645141.8,0.684444274,0.315584028,,12.23,,,,0202138000 0202139000,"2016, 2017, 2018, "
