BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
21795,2017,NonResidential,Seattle,WA,98102,1999,85750,Parking,117.900001525879,113.5,195.899993896484,191.0,2357688.0,2269200.75,0.0,690332.9,1667355.2734375
21796,2017,NonResidential,Seattle,WA,98102,1905,83882,K-12 School,37.7999992370605,36.7999992370605,73.0,71.9000015258789,3171877.5,3083383.5,0.0,1338275.112,1833602.1484375
21807,2017,Residential,Seattle,WA,98109,1948,40326,Multifamily,72.0,72.0,105.800003051758,105.800003051758,2901947.25,2903791.25,0.0,582617.0729375,2319330.078125
21808,2017,Residential,Seattle,WA,98122,1995,26088,Multifamily,36.7999992370605,35.7999992370605,81.6999969482422,79.9000015258789,958847.1875,933310.1875,0.0,537878.235875,420968.994140625
21811,2017,Residential,Seattle,WA,98104,1900,48092,Multifamily,30.100000381469698,29.2000007629395,94.5,91.8000030517578,1096627.75,1065189.25,0.0,1096627.67575,0.0
21812,2017,Residential,Seattle,WA,98121,1914,34023,Multifamily,26.7000007629395,26.100000381469698,72.4000015258789,70.5,909849.6875,889299.5,0.0,721193.7469375,188655.99365234398
21813,2017,Residential,Seattle,WA,98103,1980,45421,Multifamily,23.399999618530302,22.899999618530302,65.40000152587889,63.9000015258789,973603.0,951545.1875,0.0,811872.7649375,161729.992675781
21822,2017,NonResidential,Seattle,WA,98103,1912,28080,Distributio,30.0,29.2000007629395,68.8000030517578,67.0,843792.3125,819720.375,0.0,500050.458125,343741.9921875
21824,2017,Residential,SEATTLE,WA,98199,1973,60601,Multifamily,21.2999992370605,20.7999992370605,67.0,65.5,1031268.125,1006908.1875,0.0,1031267.83025,0.0
21825,2017,Residential,Seattle,WA,98199,1969,32054,Other,31.7999992370605,30.7000007629395,99.8000030517578,96.4000015258789,857726.0,828587.875,0.0,857725.939875,0.0
21826,2017,Residential,Seattle,WA,98199,1970,29222,Multifamily,28.2999992370605,27.600000381469698,88.9000015258789,86.6999969482422,792310.375,773370.375,0.0,792310.436125,0.0
21830,2017,Residential,Seattle,WA,98122,2008,27468,Multifamily,48.9000015258789,48.0999984741211,136.800003051758,135.100006103516,1300208.75,1278360.25,0.0,1088057.798,212151.000976563
21836,2017,Residential,Seattle,WA,98103,1989,61227,Multifamily,25.5,25.100000381469698,80.0,78.6999969482422,1138305.0,1119318.5,0.0,1138304.935875,0.0
21838,2017,Residential,Seattle,WA,98119,1997,30236,Multifamily,34.7999992370605,34.4000015258789,109.300003051758,108.0,1052402.875,1040038.1875,0.0,1052402.717875,0.0
23173,2017,Residential,Seattle,WA,98109,1960,21822,Multifamily,36.2999992370605,35.7000007629395,114.0,112.0,792570.8125,778366.875,0.0,792570.7610625,0.0
21839,2017,Residential,Seattle,WA,98121,1990,320651,Multifamily,37.0,36.0999984741211,99.9000015258789,97.8000030517578,7930781.5,7757786.0,0.0,6270042.181,1660739.0625
21852,2017,Residential,Seattle,WA,98102,1985,45235,Multifamily,21.5,21.2000007629395,67.59999847412111,66.5,974156.375,957707.8125,0.0,974156.388125,0.0
21859,2017,Residential,Seattle,WA,98122,2002,65604,Multifamily,25.899999618530302,25.899999618530302,81.4000015258789,81.4000015258789,1700478.75,1700478.75,0.0,1700478.74425,0.0
21860,2017,Residential,Seattle,WA,98102,2009,322771,Multifamily,42.5999984741211,42.5999984741211,97.6999969482422,97.6999969482422,8540380.0,8541121.0,0.0,5090258.734,3450120.3125
21862,2017,Residential,Seattle,WA,98101,2010,480789,Multifamily,35.9000015258789,34.5,78.4000015258789,76.0999984741211,21299220.0,20475410.0,0.0,11570521.912,9728697.65625
21871,2017,Residential,Seattle,WA,98103,2000,35837,Multifamily,32.7999992370605,32.5,103.0,102.099998474121,1127337.5,1117366.75,0.0,1127337.38175,0.0
21877,2017,Residential,Seattle,WA,98133,1968,41567,Multifamily,25.399999618530302,24.600000381469698,79.6999969482422,77.3000030517578,1039283.6875,1008074.125,0.0,1039283.577875,0.0
21879,2017,NonResidential,SEATTLE,WA,98133,1954,51298,Senior Care,108.400001525879,106.699996948242,198.600006103516,195.800003051758,5561876.0,5474219.5,0.0,2079725.95625,3482150.0
21880,2017,Residential,Seattle,WA,98133,1990,284970,Multifamily,49.5,48.5,80.0999984741211,78.5999984741211,12687164.0,12430171.0,0.0,3454616.94625,9232546.875
21883,2017,NonResidential,Seattle,WA,98133,1962,22047,Worship Fac,12.6000003814697,12.5,39.5,39.2999992370605,288320.59375,286554.0,0.0,288320.47746875,0.0
21884,2017,Residential,Seattle,WA,98133,1967,116143,Multifamily,28.7000007629395,28.0,90.0999984741211,88.0,3253950.75,3177486.75,0.0,3253950.40225,0.0
21885,2017,Residential,Seattle,WA,98133,1976,44656,Multifamily,24.100000381469698,23.7000007629395,75.5,74.3000030517578,1074131.25,1056204.875,0.0,1074131.08025,0.0
21886,2017,Residential,Seattle,WA,98133,1968,26159,Multifamily,27.7000007629395,27.2000007629395,87.0,85.3000030517578,719110.375,704580.875,0.0,719110.4010625,0.0
