RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
125,212,2015,Specialty,Seattle,WA,98118,1952,173185,,39.6,51,63.1,75,6863464,8829066,0,1781138,5082400
126,214,2015,Specialty,Seattle,WA,98106,1963,145341,,35.9,44.3,66.5,75.3,4998015,6165405,0,1914941,3083154
127,215,2015,NonResidential,Seattle,WA,98108,1904,114297,,15.2,18,31.6,35.1,1738724,2060926,0,854011,884748
128,216,2015,Specialty,Seattle,WA,98118,1960,184125,,43.7,55.9,78.5,91.4,8037287,10298198,0,2877207,5160200
129,217,2015,Specialty,Seattle,WA,98117,1959,160270,,35.4,45.9,62.4,77.6,5674450,7361706,0,1936530,3738000
130,220,2015,NonResidential,Seattle,WA,98134,1937,234144,,31.5,40.4,46.8,56.1,7370743,9449743,0,1541206,5829600
131,223,2015,NonResidential,Seattle,WA,98126,1966,64984,,41.6,42.6,121.1,120.2,2721646,2785857,0,2423136,298611
132,224,2015,NonResidential,Seattle,WA,98126,1965,67745,,141.1,152.2,241.1,250.6,9560965,10315565,0,3016102,6544988
133,225,2015,Specialty,Seattle,WA,98126,2010,367884,,33.3,39,81.8,90.3,12263687,14356216,0,8236429,4027600
134,226,2015,Specialty,Seattle,WA,98126,1958,46797,,40.8,52.5,81,99,1911611,2458535,0,852346,1059300
135,227,2015,Specialty,Seattle,WA,98144,1963,136188,,39.9,50.9,78.6,93.8,5436057,6929738,0,2388755,3047400
136,228,2015,NonResidential,Seattle,WA,98117,1973,56000,,31.3,38,65,72,1755264,2129536,0,858626,896674
137,229,2015,Specialty,Seattle,WA,98118,2004,67371,,30.8,34.2,77.7,81.3,2075833,2304835,0,1461994,613900
138,230,2015,NonResidential,Seattle,WA,98126,1969,52088,,22.8,27.7,44.4,50.9,1186800,1445190,0,509226,677596
139,231,2015,Specialty,Seattle,WA,98103,2010,127776,,33,34.3,93.8,97.8,4213726,4378534,0,3615976,597900
140,232,2015,NonResidential,Seattle,WA,98109,1998,123920,,72.3,75.6,144.2,148.1,8964061,9362176,0,4045691,4918538
141,233,2015,Specialty,Seattle,WA,98109,1900,58000,,170.7,192.4,356.3,378,7338511,8273346,0,3644232,3694428
142,234,2015,Specialty,Seattle,WA,98109,1926,50292,,13.3,13.3,41.6,41.6,715446,715446,0,715475,0
143,235,2015,NonResidential,Seattle,WA,98109,1998,207656,,75.8,81,161.5,169.5,10735331,11474804,0,5546361,5189200
144,237,2015,Specialty,Seattle,WA,98117,1999,67235,,35.2,38.7,91.8,95.5,2364351,2599890,0,1766824,597600
145,238,2015,Specialty,Seattle,WA,98103,1957,85017,,97,106.3,255.1,269.5,9146727,10026737,0,6915309,2231705
146,239,2015,Specialty,Seattle,WA,98136,1991,58118,,23.1,24.5,66.1,70.4,1362993,1444495,0,1181942,181100
147,241,2015,NonResidential,Seattle,WA,98133,1968,64893,,93.3,93.6,178.5,179.4,6056481,6075196,0,2500329,3556255
148,242,2015,Specialty,Seattle,WA,98115,1989,52792,,22.1,26,69.5,81.6,1227290,1440992,0,1227341,0
149,243,2015,Specialty,Seattle,WA,98108,1925,70762,,41.4,41.4,54.3,54.3,2933003,2933003,0,364295,2568723
150,244,2015,NonResidential,Seattle,WA,98104,1900,56456,,34.3,35.9,91.5,96.5,1527917,1599245,0,1183443,344523
151,245,2015,NonResidential,Seattle,WA,98134,1999,1585960,,37.8,37.8,106.9,106.9,59991984,59991984,0,50980399,9013708
152,247,2015,Specialty,Seattle,WA,98134,1924,179161,,55.2,61.9,165.9,184.3,9974370,11178092,0,9337240,637519
153,248,2015,Specialty,Seattle,WA,98134,1965,50000,,58.5,69,183.8,216.8,4116805,4855148,0,4116974,0
154,249,2015,NonResidential,Seattle,WA,98134,1999,1172127,,49.1,46.6,121.8,114,57514116,54628004,0,39396997,18118769
155,250,2015,NonResidential,Seattle,WA,98134,2005,168449,,90.9,93.5,188,188.1,13116256,13484454,0,6384861,6731660
156,257,2015,NonResidential,Seattle,WA,98134,1916,79600,,22.4,22.4,70.5,70.5,1786986,1786986,0,1787060,0
157,260,2015,Specialty,Seattle,WA,98103,1997,241066,,32.6,42.1,63.3,75.3,7870351,10142007,0,3348000,4522491
158,261,2015,Specialty,Seattle,WA,98108,1980,334368,,154.5,157.5,439.3,442.5,52273792,53294752,0,44866796,7408855
159,263,2015,NonResidential,Seattle,WA,98125,2008,419848,,111.8,111.9,298.9,291.2,9477865,9478424,0,7356021,2122149
160,264,2015,NonResidential,Seattle,WA,98119,2002,110785,,95.8,99.4,293.5,303.5,10608788,11015204,0,10228437,380776
161,265,2015,Residential,Seattle,WA,98121,2003,116947,,77.1,82.8,171.4,175.2,9689634,10408839,0,5441257,4248603
162,267,2015,NonResidential,Seattle,WA,98101,1999,934292,,115.7,115.7,271.7,271.7,63811044,63811044,0,39667989,24144689
163,268,2015,NonResidential,Seattle,WA,98122,1990,597519,,228.8,236.9,434.8,434.9,137635696,142494256,0,56016106,81621919
164,273,2015,Specialty,Seattle,WA,98106,1999,71714,,31,33.6,88,93.1,2223321,2407341,0,1903299,320100
